행정구역(시군구)별(1),행정구역(시군구)별(2),2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06
서울특별시,관악구,"8,712","9,018","8,873","7,783","7,341","6,311","8,164","7,797","7,263","8,294","7,585","8,647","8,521","10,482","10,835","8,485","7,831","8,171","7,362","8,151","8,199","8,125","7,979","9,085","8,112","9,133","10,248","8,138","7,426","7,086"
서울특별시,서초구,"6,673","7,309","6,464","5,384","5,145","4,378","5,311","5,481","4,962","5,623","4,992","5,912","5,930","7,649","6,832","5,540","5,428","6,141","6,128","6,246","6,978","8,036","5,911","6,850","5,729","7,416","7,127","5,729","5,531","6,094"
서울특별시,강남구,"8,909","10,203","8,656","7,455","7,062","6,205","7,532","7,418","6,795","7,979","6,855","8,647","8,306","10,796","9,848","8,110","7,823","7,341","7,504","8,003","8,060","8,464","7,869","9,458","8,193","10,064","10,145","7,730","7,706","6,828"
서울특별시,송파구,"10,698","12,817","11,947","10,682","9,935","7,872","9,067","8,477","7,434","9,346","8,487","9,539","9,285","12,223","12,099","9,171","8,059","8,170","8,448","9,263","9,534","9,948","9,423","10,834","9,646","12,160","12,743","10,097","9,135","8,002"
서울특별시,강동구,"5,327","5,912","5,838","5,338","4,975","4,005","5,981","5,198","4,508","7,893","6,254","6,063","6,110","7,998","9,332","6,773","5,453","5,335","5,334","5,895","6,554","6,184","5,639","7,664","6,421","7,406","7,823","6,103","5,542","5,210"
부산광역시,소계,"39,477","42,394","38,345","37,090","34,874","30,417","32,763","35,235","31,268","36,011","36,038","41,146","41,100","49,592","48,065","41,966","35,680","38,688","37,691","41,728","39,572","39,716","42,017","50,361","44,537","45,650","44,336","38,175","38,941","36,670"
부산광역시,중  구,614,566,550,542,621,447,502,572,474,504,519,508,548,591,651,610,424,620,528,518,475,501,554,645,523,628,694,598,605,585
부산광역시,서  구,"1,310","1,352","1,276","1,160","1,164","1,057","1,011","1,076",927,"1,069","1,074","1,175","1,202","1,503","1,402","1,420","1,234","1,268","1,105","1,128","1,109","1,553","1,257","1,408","1,337","1,560","1,476","1,485","1,311","1,234"
부산광역시,동  구,979,992,959,888,951,822,920,"1,311","1,048","1,092","1,008",973,965,"1,041","1,381","1,344","1,141","1,096","1,001","1,048","1,067","1,137","1,134","1,252","1,061","1,039","1,398","1,128","1,200","1,219"
부산광역시,영도구,"1,132","1,038","1,058","1,009","1,072",879,977,924,894,"1,051",995,"1,137","1,009","1,155","1,241","1,087","1,013","1,073",937,"1,036","1,038","1,062","1,047","1,271","1,102","1,128","1,239","1,127","2,220","1,762"
